ID,MAC,IP,PubKey_fpr,MA_level,CA_Result,CA_Server
24002f29,----,192.168.1.60,0f7679828bd3934f435817d34d149e053d6cf47ecbf2935e2267ba29d94f6c1d,1,1,9068f1b9
9068f1b9,----,192.168.1.34,7a613da15234ded1f0beee43fe6495cf5e62431e02d89c19e543d9f711b55d38,1,1,24002f29
